query_number,query_caption,rank,retrieved_ytid,similarity_score,correct_match
1,This recording contains gargling noises to which a lot of female voices sing along. In the background you can hear a full pop song that serves as background music. The recording is full of fast popping noises. This seems to be an amateur recording.,1,mtapmFDmImA,0.11881396919488907,False
1,This recording contains gargling noises to which a lot of female voices sing along. In the background you can hear a full pop song that serves as background music. The recording is full of fast popping noises. This seems to be an amateur recording.,2,lh6ACdwNlyk,0.06425251066684723,False
1,This recording contains gargling noises to which a lot of female voices sing along. In the background you can hear a full pop song that serves as background music. The recording is full of fast popping noises. This seems to be an amateur recording.,3,PE1ges9nn6A,0.04918850213289261,False
2,The music features a female voice singing a long note melody for the first half of the excerpt. The drums play a steady rhythm and together with the bass guitar and tambourine drive the pulse of the music. A synth sound is playing a wobbly melody.,1,N_LKZjw9DLk,0.11418960243463516,False
2,The music features a female voice singing a long note melody for the first half of the excerpt. The drums play a steady rhythm and together with the bass guitar and tambourine drive the pulse of the music. A synth sound is playing a wobbly melody.,2,lh6ACdwNlyk,0.10399298369884491,False
2,The music features a female voice singing a long note melody for the first half of the excerpt. The drums play a steady rhythm and together with the bass guitar and tambourine drive the pulse of the music. A synth sound is playing a wobbly melody.,3,ZEuY5HnECuo,0.10158529877662659,False
3,"The low quality recording features a rock song that consists of an electric guitar melody, smooth bass, shimmering shakers, snappy rimshots and soft male vocals singing over it. The recording is really noisy and in mono. It sounds cool, groovy and easygoing.",1,AzhfZ8rNhRk,0.1802569329738617,False
3,"The low quality recording features a rock song that consists of an electric guitar melody, smooth bass, shimmering shakers, snappy rimshots and soft male vocals singing over it. The recording is really noisy and in mono. It sounds cool, groovy and easygoing.",2,9oiSwXk8Nsk,0.15417082607746124,False
3,"The low quality recording features a rock song that consists of an electric guitar melody, smooth bass, shimmering shakers, snappy rimshots and soft male vocals singing over it. The recording is really noisy and in mono. It sounds cool, groovy and easygoing.",3,dO3VsX4rKNc,0.14958494901657104,False
4,This is a swing jazz music performance. The main melody is being played by trumpets while the brass section as a whole provides the melodic background. There is an upright bass playing an eighth-note walking bass line. The acoustic drums are playing a swing jazz beat in the rhythmic background. There is a smooth and vibrant atmosphere to the piece. It could be playing in the soundtrack of a video game. This piece could also be used in the soundtracks of historical drama pieces.,1,9ZWmZdgrE78,0.14890651404857635,False
4,This is a swing jazz music performance. The main melody is being played by trumpets while the brass section as a whole provides the melodic background. There is an upright bass playing an eighth-note walking bass line. The acoustic drums are playing a swing jazz beat in the rhythmic background. There is a smooth and vibrant atmosphere to the piece. It could be playing in the soundtrack of a video game. This piece could also be used in the soundtracks of historical drama pieces.,2,ZEuY5HnECuo,0.10443761944770813,False
4,This is a swing jazz music performance. The main melody is being played by trumpets while the brass section as a whole provides the melodic background. There is an upright bass playing an eighth-note walking bass line. The acoustic drums are playing a swing jazz beat in the rhythmic background. There is a smooth and vibrant atmosphere to the piece. It could be playing in the soundtrack of a video game. This piece could also be used in the soundtracks of historical drama pieces.,3,fAfk9yrGhWw,0.0964362770318985,False
5,This hard rock song features a distortion guitar playing aggressive riffs. This is accompanied by a rock percussion playing a simple rock beat with a roll at the end. The bass guitar plays the root notes of the chord with a flourish to move to the subsequent note. There are no voices in this song. This is an instrumental song.,1,9ZWmZdgrE78,0.20713868737220764,False
5,This hard rock song features a distortion guitar playing aggressive riffs. This is accompanied by a rock percussion playing a simple rock beat with a roll at the end. The bass guitar plays the root notes of the chord with a flourish to move to the subsequent note. There are no voices in this song. This is an instrumental song.,2,ZEuY5HnECuo,0.17158249020576477,False
5,This hard rock song features a distortion guitar playing aggressive riffs. This is accompanied by a rock percussion playing a simple rock beat with a roll at the end. The bass guitar plays the root notes of the chord with a flourish to move to the subsequent note. There are no voices in this song. This is an instrumental song.,3,9oiSwXk8Nsk,0.13892526924610138,False
6,The low quality recording features a drummer playing his solo over a weird repetitive electric guitar solo melody. The drums consist of punchy kick and snare hits and shimmering cymbals. Overall it sounds energetic and exciting.,1,AzhfZ8rNhRk,0.1532006412744522,False
6,The low quality recording features a drummer playing his solo over a weird repetitive electric guitar solo melody. The drums consist of punchy kick and snare hits and shimmering cymbals. Overall it sounds energetic and exciting.,2,9oiSwXk8Nsk,0.1418127566576004,False
6,The low quality recording features a drummer playing his solo over a weird repetitive electric guitar solo melody. The drums consist of punchy kick and snare hits and shimmering cymbals. Overall it sounds energetic and exciting.,3,dO3VsX4rKNc,0.12483823299407959,False
7,"This instrumental song features a guitar playing a lick. This is a joyful melody played on the guitar with a delay effect. There is no percussion and no other instruments in this song. There are no voices in this song. At the end, the noise threshold of the guitar is crossed and the hum can be heard. This song is relaxing and can be played in a coffee shop.",1,9ZWmZdgrE78,0.17835350334644318,False
7,"This instrumental song features a guitar playing a lick. This is a joyful melody played on the guitar with a delay effect. There is no percussion and no other instruments in this song. There are no voices in this song. At the end, the noise threshold of the guitar is crossed and the hum can be heard. This song is relaxing and can be played in a coffee shop.",2,lh6ACdwNlyk,0.13687217235565186,False
7,"This instrumental song features a guitar playing a lick. This is a joyful melody played on the guitar with a delay effect. There is no percussion and no other instruments in this song. There are no voices in this song. At the end, the noise threshold of the guitar is crossed and the hum can be heard. This song is relaxing and can be played in a coffee shop.",3,ZEuY5HnECuo,0.12193284183740616,False
8,"This is the noise of a fire alarm with rock music faintly playing in the background. The rock music piece has a shouting vocal, electric guitar and drums. The fire alarm makes a very disturbing sound.",1,mtapmFDmImA,0.12109998613595963,False
8,"This is the noise of a fire alarm with rock music faintly playing in the background. The rock music piece has a shouting vocal, electric guitar and drums. The fire alarm makes a very disturbing sound.",2,lh6ACdwNlyk,0.06793881207704544,False
8,"This is the noise of a fire alarm with rock music faintly playing in the background. The rock music piece has a shouting vocal, electric guitar and drums. The fire alarm makes a very disturbing sound.",3,N_LKZjw9DLk,0.04756198823451996,False
9,This reggaeton song features a male voice singing the main melody. This is accompanied by other male voices singing backing vocals. The percussion plays only in the second half of the song. The beat is a reggae beat. A shaker plays a rhythm in the beginning of the song when the main voice sings. Synth sounds are played in the beginning of the song. This synth plays a harpsichord voice. Synth strings are also played in between lines in the song. This song can be played in a club.,1,9ZWmZdgrE78,0.22940093278884888,False
9,This reggaeton song features a male voice singing the main melody. This is accompanied by other male voices singing backing vocals. The percussion plays only in the second half of the song. The beat is a reggae beat. A shaker plays a rhythm in the beginning of the song when the main voice sings. Synth sounds are played in the beginning of the song. This synth plays a harpsichord voice. Synth strings are also played in between lines in the song. This song can be played in a club.,2,dsU3B0W3TMs,0.17164230346679688,False
9,This reggaeton song features a male voice singing the main melody. This is accompanied by other male voices singing backing vocals. The percussion plays only in the second half of the song. The beat is a reggae beat. A shaker plays a rhythm in the beginning of the song when the main voice sings. Synth sounds are played in the beginning of the song. This synth plays a harpsichord voice. Synth strings are also played in between lines in the song. This song can be played in a club.,3,nW6Naj6eeI4,0.14766664803028107,False
10,The music features a glockenspiel playing a melody that starts off with a few notes and then develops into a fast-note arpeggio melody. Electronic sounds accompany the glockenspiel with a style that combines bass notes on beats one and three and chords on beats two and four. The whole atmosphere is playful.,1,9ZWmZdgrE78,0.05017981678247452,False
